№,Секунда,Микросекунда
1,5,565359
2,5,576361
3,5,587363
4,5,598367
5,5,609369
6,5,620371
7,5,631374
8,5,642034
9,5,653037
10,5,664039
11,5,675042
12,5,686044
13,5,696288
14,5,706808
15,5,717464
16,5,728463
17,5,739466
18,5,750468
19,5,761471
20,5,772473
21,5,783495
22,5,794497
23,5,805503
24,5,816505
25,5,827024
26,5,837074
27,5,847593
28,5,858591
29,5,869112
30,5,880115
31,5,890277
32,5,901278
33,5,912281
34,5,923283
35,5,933812
36,5,944336
37,5,955338
38,5,965861
39,5,976863
40,5,987379
41,5,997595
42,6,8610
43,6,19612
44,6,30615
45,6,41618
46,6,52620
47,6,62737
48,6,73740
49,6,84743
50,6,95745
51,6,106476
52,6,117054
53,6,127564
54,6,138563
55,6,149565
56,6,160568
57,6,170966
58,6,181973
59,6,192975
60,6,203044
61,6,214046
62,6,225048
63,6,236054
64,6,246580
65,6,256614
66,6,267128
67,6,277641
68,6,288639
69,6,299642
70,6,310644
71,6,321647
72,6,332649
73,6,343652
74,6,353804
75,6,364806
76,6,375809
77,6,386360
78,6,396874
79,6,407384
80,6,418383
81,6,429388
82,6,440391
83,6,451393
84,6,462396
85,6,472907
86,6,483267
87,6,494268
88,6,505270
89,6,516273
90,6,526802
91,6,536827
92,6,547338
93,6,558339
94,6,569341
95,6,580344
96,6,590494
97,6,601496
98,6,611548
99,6,622551
100,6,633553
101,6,644555
102,6,655558
103,6,666560
104,6,677139
105,6,687669
106,6,698667
107,6,709025
108,6,719983
109,6,730985
110,6,741988
111,6,752990
112,6,763059
113,6,773748
114,6,784311
115,6,794759
116,6,805761
117,6,816764
118,6,826800
119,6,837314
120,6,848314
121,6,859317
122,6,870319
123,6,880333
124,6,891335
125,6,902337
126,6,912640
127,6,923569
128,6,934572
129,6,945143
130,6,956145
131,6,966161
132,6,976685
133,6,987206
134,6,997716
135,7,8717
136,7,19719
137,7,29849
138,7,40368
139,7,51371
140,7,62373
141,7,72956
142,7,83958
143,7,94961
144,7,105963
145,7,116487
146,7,127366
147,7,137878
148,7,148876
149,7,159879
150,7,169905
151,7,180907
152,7,191910
153,7,202912
154,7,213915
155,7,224917
156,7,234987
157,7,245502
158,7,256504
159,7,267019
160,7,277539
161,7,287583
162,7,298586
163,7,309589
164,7,320590
165,7,331594
166,7,342027
167,7,353030
168,7,363895
169,7,374894
170,7,385400
171,7,395958
172,7,406893
173,7,417898
174,7,428895
175,7,439893
176,7,450896
177,7,461452
178,7,472455
179,7,483457
180,7,494460
181,7,505462
182,7,516465
183,7,526979
184,7,537184
185,7,547737
186,7,558135
187,7,568645
188,7,579648
189,7,589893
190,7,600892
191,7,611894
192,7,622897
193,7,633899
194,7,644901
195,7,655904
196,7,665949
197,7,676495
198,7,687008
199,7,697532
200,7,707833
201,7,718831
202,7,729833
203,7,740836
204,7,750862
205,7,761864
206,7,772867
207,7,783869
208,7,794872
209,7,805874
210,7,816629
211,7,827137
212,7,837657
213,7,848010
214,7,859013
215,7,870015
216,7,881018
217,7,891049
218,7,902052
219,7,913054
220,7,924057
221,7,935059
222,7,946062
223,7,956837
224,7,966916
225,7,977426
226,7,988426
227,7,999429
228,8,10432
229,8,21434
230,8,32436
231,8,43439
232,8,54442
233,8,65444
234,8,76446
235,8,86972
236,8,97501
237,8,108501
238,8,119503
239,8,130507
240,8,141508
241,8,152512
242,8,163513
243,8,174516
244,8,185518
245,8,196520
246,8,207037
247,8,217385
248,8,228388
249,8,238550
250,8,249552
251,8,260554
252,8,271078
253,8,281780
254,8,292782
255,8,303785
256,8,313841
257,8,324843
258,8,334942
259,8,345944
260,8,356465
261,8,366977
262,8,377486
263,8,388485
264,8,399488
265,8,410490
266,8,420530
267,8,431533
268,8,441549
269,8,452551
270,8,462583
271,8,473585
272,8,483612
273,8,494615
274,8,504629
275,8,514676
276,8,525678
277,8,535705
278,8,546707
279,8,557227
280,8,567256
281,8,577815
282,8,588813
283,8,599816
284,8,610818
285,8,621821
286,8,632823
287,8,643825
288,8,653917
289,8,664923
290,8,675925
291,8,686455
292,8,696479
293,8,706986
294,8,717502
295,8,728502
296,8,739505
297,8,750507
298,8,761510
299,8,772019
300,8,783021
